Id,Label,lngs,lats
池州市,池州市,117.48653503976475,30.666961153368845
伊春市,伊春市,128.8339473327485,47.72523303042765
普洱市,普洱市,100.96482465540923,22.828193550836495
孝感市,孝感市,113.91051591799068,30.92727966199934
长治市,长治市,113.10933514261215,36.19533206116106
巴音郭楞蒙古自治州,巴音郭楞蒙古自治州,86.14264689352001,41.76259627968547
南京市,南京市,118.79081480369892,32.06037417801039
厦门市,厦门市,118.08502283458913,24.481745758191984
张掖市,张掖市,100.44829888913965,38.92516164577666
肇庆市,肇庆市,112.45974480613049,23.049420810309478
曲靖市,曲靖市,103.79397682138277,25.493101581629666
贵阳市,贵阳市,106.626432028316,26.65126898606079
新余市,新余市,114.91215369619732,27.821257333550406
泰安市,泰安市,117.08193186211068,36.19965018481457
安庆市,安庆市,117.05156031819767,30.52759903782777
