index,Weight,Source,Target
"黄冈市,武汉市",355,黄冈市,武汉市
"南昌市,九江市",355,南昌市,九江市
"泉州市,重庆市",354,泉州市,重庆市
"贵阳市,铜仁市",354,贵阳市,铜仁市
"石嘴山市,银川市",354,石嘴山市,银川市
"平顶山市,郑州市",353,平顶山市,郑州市
"南充市,成都市",351,南充市,成都市
"安顺市,黔西南布依族苗族自治州",350,安顺市,黔西南布依族苗族自治州
"达州市,成都市",350,达州市,成都市
"盐城市,苏州市",350,盐城市,苏州市
"北京市,沈阳市",348,北京市,沈阳市
"廊坊市,北京市",348,廊坊市,北京市
"南宁市,防城港市",347,南宁市,防城港市
"沈阳市,大连市",347,沈阳市,大连市
"宁波市,绍兴市",347,宁波市,绍兴市
"上海市,常州市",346,上海市,常州市
"徐州市,苏州市",346,徐州市,苏州市
"北京市,成都市",343,北京市,成都市
"茂名市,广州市",343,茂名市,广州市
"丽水市,杭州市",339,丽水市,杭州市
"厦门市,福州市",338,厦门市,福州市
"红河哈尼族彝族自治州,普洱市",337,红河哈尼族彝族自治州,普洱市
"惠州市,广州市",337,惠州市,广州市
"厦门市,龙岩市",336,厦门市,龙岩市
"驻马店市,郑州市",335,驻马店市,郑州市
"三明市,福州市",334,三明市,福州市
"广州市,南宁市",334,广州市,南宁市
"攀枝花市,重庆市",333,攀枝花市,重庆市
"南京市,上海市",333,南京市,上海市
"成都市,雅安市",332,成都市,雅安市
"成都市,内江市",330,成都市,内江市
"重庆市,达州市",330,重庆市,达州市
"成都市,遂宁市",326,成都市,遂宁市
"苏州市,盐城市",325,苏州市,盐城市
"武汉市,鄂州市",324,武汉市,鄂州市
"桂林市,南宁市",324,桂林市,南宁市
"河池市,南宁市",322,河池市,南宁市
"汕头市,广州市",321,汕头市,广州市
"常州市,镇江市",320,常州市,镇江市
"台州市,温州市",320,台州市,温州市
"南通市,苏州市",319,南通市,苏州市
"南平市,福州市",318,南平市,福州市
"台州市,金华市",316,台州市,金华市
"梅州市,广州市",315,梅州市,广州市
"南京市,扬州市",313,南京市,扬州市
"湘潭市,株洲市",313,湘潭市,株洲市
"武汉市,襄阳市",313,武汉市,襄阳市
"南宁市,柳州市",312,南宁市,柳州市
"嘉兴市,上海市",311,嘉兴市,上海市
"昆明市,保山市",310,昆明市,保山市
"呼和浩特市,锡林郭勒盟",309,呼和浩特市,锡林郭勒盟
"自贡市,成都市",309,自贡市,成都市
"海东市,海西蒙古族藏族自治州",307,海东市,海西蒙古族藏族自治州
"苏州市,南京市",302,苏州市,南京市
"辽源市,通化市",302,辽源市,通化市
"北京市,武汉市",302,北京市,武汉市
"青岛市,潍坊市",301,青岛市,潍坊市
"信阳市,郑州市",301,信阳市,郑州市
"深圳市,成都市",301,深圳市,成都市
"江门市,广州市",300,江门市,广州市
"保定市,北京市",300,保定市,北京市
"三明市,厦门市",299,三明市,厦门市
"遵义市,重庆市",299,遵义市,重庆市
"广州市,上海市",299,广州市,上海市
"南通市,上海市",299,南通市,上海市
"丽水市,金华市",297,丽水市,金华市
"佛山市,重庆市",296,佛山市,重庆市
"昆明市,丽江市",296,昆明市,丽江市
"宁波市,台州市",296,宁波市,台州市
"长春市,吉林市",295,长春市,吉林市
"银川市,石嘴山市",295,银川市,石嘴山市
"呼和浩特市,乌兰察布市",295,呼和浩特市,乌兰察布市
"焦作市,郑州市",293,焦作市,郑州市
"上海市,武汉市",293,上海市,武汉市
"白山市,延边朝鲜族自治州",293,白山市,延边朝鲜族自治州
"晋中市,太原市",292,晋中市,太原市
"呼和浩特市,包头市",291,呼和浩特市,包头市
"重庆市,黔西南布依族苗族自治州",291,重庆市,黔西南布依族苗族自治州
"宁波市,上海市",290,宁波市,上海市
"绍兴市,宁波市",288,绍兴市,宁波市
"汕头市,深圳市",288,汕头市,深圳市
"安阳市,郑州市",288,安阳市,郑州市
"天津市,唐山市",288,天津市,唐山市
"长沙市,益阳市",288,长沙市,益阳市
"嘉兴市,苏州市",285,嘉兴市,苏州市
"昆明市,文山壮族苗族自治州",284,昆明市,文山壮族苗族自治州
"成都市,巴中市",284,成都市,巴中市
"揭阳市,广州市",284,揭阳市,广州市
"肇庆市,佛山市",284,肇庆市,佛山市
"广州市,汕头市",283,广州市,汕头市
"成都市,甘孜藏族自治州",283,成都市,甘孜藏族自治州
"广州市,长沙市",283,广州市,长沙市
"广州市,湖北省",282,广州市,湖北省
"西安市,安康市",281,西安市,安康市
"大同市,朔州市",281,大同市,朔州市
"重庆市,黔南布依族苗族自治州",280,重庆市,黔南布依族苗族自治州
"安顺市,贵阳市",280,安顺市,贵阳市
"青岛市,烟台市",279,青岛市,烟台市
"宁波市,重庆市",279,宁波市,重庆市
"遵义市,铜仁市",279,遵义市,铜仁市
"福州市,莆田市",279,福州市,莆田市
"松原市,长春市",279,松原市,长春市
"北京市,深圳市",278,北京市,深圳市
"邢台市,石家庄市",278,邢台市,石家庄市
"江门市,中山市",276,江门市,中山市
"北京市,西安市",276,北京市,西安市
"武汉市,宜昌市",275,武汉市,宜昌市
"广州市,茂名市",275,广州市,茂名市
"深圳市,上海市",275,深圳市,上海市
"郑州市,漯河市",275,郑州市,漯河市
"广安市,重庆市",274,广安市,重庆市
"江门市,佛山市",273,江门市,佛山市
"百色市,南宁市",273,百色市,南宁市
"北京市,呼伦贝尔市",273,北京市,呼伦贝尔市
"长沙市,常德市",272,长沙市,常德市
"济南市,德州市",272,济南市,德州市
"成都市,泉州市",272,成都市,泉州市
"运城市,临汾市",272,运城市,临汾市
"石家庄市,保定市",271,石家庄市,保定市
"上海市,成都市",271,上海市,成都市
"汕尾市,广州市",270,汕尾市,广州市
"广州市,阳江市",270,广州市,阳江市
"长沙市,衡阳市",268,长沙市,衡阳市
"北京市,广州市",267,北京市,广州市
"北京市,哈尔滨市",267,北京市,哈尔滨市
"遂宁市,成都市",266,遂宁市,成都市
"西安市,汉中市",266,西安市,汉中市
"成都市,宜宾市",266,成都市,宜宾市
"广州市,武汉市",265,广州市,武汉市
"沧州市,天津市",265,沧州市,天津市
"咸宁市,武汉市",265,咸宁市,武汉市
"苏州市,泰州市",265,苏州市,泰州市
"北京市,延边朝鲜族自治州",264,北京市,延边朝鲜族自治州
"广州市,梅州市",264,广州市,梅州市
"苏州市,嘉兴市",264,苏州市,嘉兴市
"佛山市,江门市",263,佛山市,江门市
"大连市,沈阳市",263,大连市,沈阳市
"揭阳市,深圳市",261,揭阳市,深圳市
"崇左市,南宁市",261,崇左市,南宁市
"伊犁哈萨克自治州,巴音郭楞蒙古自治州",260,伊犁哈萨克自治州,巴音郭楞蒙古自治州
"宝鸡市,西安市",260,宝鸡市,西安市
"成都市,黔南布依族苗族自治州",259,成都市,黔南布依族苗族自治州
"秦皇岛市,葫芦岛市",259,秦皇岛市,葫芦岛市
"昆明市,重庆市",258,昆明市,重庆市
"福州市,南平市",257,福州市,南平市
"深圳市,珠海市",257,深圳市,珠海市
"深圳市,汕尾市",256,深圳市,汕尾市
"上海市,深圳市",256,上海市,深圳市
"绥化市,哈尔滨市",256,绥化市,哈尔滨市
"衢州市,杭州市",256,衢州市,杭州市
"西宁市,海东市",255,西宁市,海东市
"武汉市,黄石市",255,武汉市,黄石市
"温州市,苏州市",255,温州市,苏州市
"北京市,青岛市",255,北京市,青岛市
"淄博市,滨州市",254,淄博市,滨州市
"石家庄市,邢台市",254,石家庄市,邢台市
"北京市,唐山市",254,北京市,唐山市
"上海市,南宁市",253,上海市,南宁市
"合肥市,上海市",253,合肥市,上海市
"深圳市,北京市",253,深圳市,北京市
"汕尾市,深圳市",252,汕尾市,深圳市
"扬州市,泰州市",251,扬州市,泰州市
"中山市,江门市",251,中山市,江门市
"运城市,太原市",251,运城市,太原市
"湛江市,深圳市",249,湛江市,深圳市
"北京市,沧州市",248,北京市,沧州市
"淮安市,苏州市",248,淮安市,苏州市
"商洛市,西安市",248,商洛市,西安市
"安庆市,合肥市",247,安庆市,合肥市
"广州市,成都市",247,广州市,成都市
"运城市,北京市",247,运城市,北京市
"杭州市,衢州市",247,杭州市,衢州市
"南京市,宿迁市",246,南京市,宿迁市
"佛山市,清远市",246,佛山市,清远市
"黄石市,武汉市",246,黄石市,武汉市
"泰州市,扬州市",245,泰州市,扬州市
"玉溪市,普洱市",245,玉溪市,普洱市
"北京市,大连市",245,北京市,大连市
"长春市,四平市",244,长春市,四平市
"嘉兴市,湖州市",244,嘉兴市,湖州市
"娄底市,长沙市",244,娄底市,长沙市
"太原市,临汾市",244,太原市,临汾市
"常德市,湘西土家族苗族自治州",244,常德市,湘西土家族苗族自治州
"湖州市,杭州市",243,湖州市,杭州市
"广安市,日喀则市",243,广安市,日喀则市
"常州市,苏州市",242,常州市,苏州市
"贵阳市,六盘水市",241,贵阳市,六盘水市
"大理白族自治州,丽江市",241,大理白族自治州,丽江市
"北京市,太原市",240,北京市,太原市
"深圳市,湖北省",240,深圳市,湖北省
"金华市,重庆市",240,金华市,重庆市
"济南市,济宁市",240,济南市,济宁市
"台州市,上海市",239,台州市,上海市
"雅安市,成都市",239,雅安市,成都市
"镇江市,常州市",239,镇江市,常州市
"临汾市,太原市",238,临汾市,太原市
"红河哈尼族彝族自治州,昆明市",237,红河哈尼族彝族自治州,昆明市
"宁波市,伊犁哈萨克自治州",237,宁波市,伊犁哈萨克自治州
"广州市,揭阳市",236,广州市,揭阳市
"昆明市,昭通市",236,昆明市,昭通市
"呼和浩特市,呼伦贝尔市",235,呼和浩特市,呼伦贝尔市
"宜春市,南昌市",235,宜春市,南昌市
"九江市,南昌市",234,九江市,南昌市
"西安市,商洛市",234,西安市,商洛市
"深圳市,香港特别行政区",234,深圳市,香港特别行政区
"茂名市,东莞市",233,茂名市,东莞市
"深圳市,揭阳市",233,深圳市,揭阳市
"昆明市,临沧市",233,昆明市,临沧市
"苏州市,宿迁市",232,苏州市,宿迁市
"肇庆市,广州市",232,肇庆市,广州市
"成都市,自贡市",232,成都市,自贡市
"济南市,青岛市",232,济南市,青岛市
"西安市,榆林市",232,西安市,榆林市
"揭阳市,东莞市",232,揭阳市,东莞市
"泰州市,苏州市",232,泰州市,苏州市
"鄂尔多斯市,包头市",230,鄂尔多斯市,包头市
"上饶市,金华市",230,上饶市,金华市
"上海市,芜湖市",230,上海市,芜湖市
"苏州市,杭州市",229,苏州市,杭州市
"沈阳市,鞍山市",228,沈阳市,鞍山市
"东莞市,南宁市",228,东莞市,南宁市
"玉溪市,昆明市",228,玉溪市,昆明市
"阜阳市,合肥市",227,阜阳市,合肥市
"昌吉回族自治州,塔城地区",227,昌吉回族自治州,塔城地区
"南京市,南通市",227,南京市,南通市
"荆门市,武汉市",227,荆门市,武汉市
"昆明市,黔西南布依族苗族自治州",226,昆明市,黔西南布依族苗族自治州
"湛江市,东莞市",226,湛江市,东莞市
"梅州市,东莞市",225,梅州市,东莞市
"泉州市,龙岩市",224,泉州市,龙岩市
"成都市,广元市",224,成都市,广元市
"成都市,黔西南布依族苗族自治州",224,成都市,黔西南布依族苗族自治州
"合肥市,安庆市",223,合肥市,安庆市
"安康市,西安市",222,安康市,西安市
"无锡市,上海市",222,无锡市,上海市
"赤峰市,锡林郭勒盟",221,赤峰市,锡林郭勒盟
"苏州市,徐州市",221,苏州市,徐州市
"伊犁哈萨克自治州,新疆维吾尔自治区",221,伊犁哈萨克自治州,新疆维吾尔自治区
"金华市,温州市",220,金华市,温州市
"温州市,嘉兴市",220,温州市,嘉兴市
"上海市,广州市",219,上海市,广州市
"大理白族自治州,普洱市",218,大理白族自治州,普洱市
"合肥市,滁州市",218,合肥市,滁州市
"保定市,石家庄市",218,保定市,石家庄市
"北京市,锡林郭勒盟",218,北京市,锡林郭勒盟
"重庆市,遵义市",218,重庆市,遵义市
